<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BSESN,D,20140417,000000,22327.7600,22648.6900,22312.1900,22628.8400,8500,0
^BSESN,D,20140425,000000,22892.5000,22939.3100,22656.6400,22688.0700,7500,0
^BSESN,D,20140428,000000,22717.5900,22721.3600,22597.1900,22631.6100,6900,0
^BSESN,D,20140505,000000,22412.8000,22592.0300,22354.4500,22445.1200,11700,0
^BSESN,D,20140506,000000,22512.2300,22602.7100,22475.6500,22508.4200,6200,0
^BSESN,D,20140507,000000,22488.9600,22532.8200,22286.2600,22323.9000,10800,0
^BSESN,D,20140519,000000,24340.3200,24448.4700,24107.9900,24363.0500,23500,0
^BSESN,D,20140520,000000,24555.3100,24587.1600,24299.5300,24376.8800,19000,0
^BSESN,D,20140521,000000,24404.4800,24419.5400,24156.4700,24298.0200,18000,0
^BSESN,D,20140522,000000,24415.4200,24524.7600,24326.4800,24374.4000,14500,0
^BSESN,D,20140523,000000,24535.1400,24745.8600,24470.7800,24693.3500,21200,0
^BSESN,D,20140602,000000,24368.9600,24709.0900,24270.2000,24684.8500,14400,0
^BSESN,D,20140603,000000,24729.2200,24892.0600,24626.9700,24858.5900,21100,0
^BSESN,D,20140604,000000,24909.0300,24925.9000,24773.9300,24805.8300,14800,0
^BSESN,D,20140609,000000,25543.6000,25644.7700,25496.8400,25580.2100,15300,0
^BSESN,D,20140616,000000,25239.5000,25268.4100,25063.9300,25190.4800,12000,0
^BSESN,D,20140617,000000,25189.4600,25545.8800,25104.5000,25521.1900,11300,0
^BSESN,D,20140618,000000,25565.1900,25609.2800,25114.3000,25246.2500,13200,0
^BSESN,D,20140624,000000,25115.8300,25414.6900,25115.8300,25368.9000,9700,0
^BSESN,D,20140625,000000,25421.4900,25427.8000,25274.3900,25313.7400,7700,0
^BSESN,D,20140630,000000,25179.5500,25460.9600,25179.5500,25413.7800,9500,0
^BSESN,D,20140707,000000,26039.6700,26123.5500,25992.7300,26100.0800,8900,0
^BSESN,D,20140710,000000,25513.7400,25920.4600,25239.8900,25372.7500,16900,0
^BSESN,D,20140711,000000,25488.8600,25548.3300,24978.3300,25024.3500,18600,0
^BSESN,D,20140721,000000,25776.5400,25861.1500,25677.7100,25715.1700,7600,0
^BSESN,D,20140728,000000,26173.4700,26181.8300,25900.2500,25991.2300,7400,0
^BSESN,D,20140804,000000,25631.6800,25754.4200,25531.3800,25723.1600,7400,0
^BSESN,D,20140805,000000,25817.8400,25928.3200,25562.3600,25908.0100,8800,0
^BSESN,D,20140806,000000,25892.5500,25901.6800,25621.8500,25665.2700,6800,0
^BSESN,D,20140811,000000,25476.8700,25553.4400,25437.0500,25519.2400,6000,0
^BSESN,D,20140812,000000,25703.7800,25904.9800,25645.7900,25880.7700,8100,0
^BSESN,D,20140813,000000,25861.4700,25972.6200,25791.7900,25918.9500,8800,0
^BSESN,D,20140814,000000,25948.3000,26135.0000,25945.3500,26103.2300,10100,0
^BSESN,D,20140819,000000,26482.5600,26530.6700,26387.8400,26420.6700,10400,0
^BSESN,D,20140820,000000,26496.2900,26504.5200,26277.6100,26314.2900,8900,0
^BSESN,D,20140821,000000,26322.6600,26464.8000,26262.5200,26360.1100,6500,0
^BSESN,D,20140822,000000,26419.5300,26508.2700,26383.1600,26419.5500,6700,0
^BSESN,D,20140904,000000,27164.9500,27169.1200,26972.3900,27085.9300,7400,0
^BSESN,D,20140916,000000,26854.9000,26861.2900,26464.0300,26492.5100,9400,0
^BSESN,D,20140919,000000,27139.3900,27247.1700,27047.6800,27090.4200,7300,0
^BSESN,D,20140923,000000,27244.9800,27256.8700,26744.0700,26775.6900,7900,0
^BSESN,D,20140924,000000,26817.9400,26844.7000,26560.0000,26744.6900,12300,0
^BSESN,D,20141014,000000,26537.4200,26550.7900,26212.0100,26349.3300,11900,0
^BSESN,D,20141020,000000,26434.1600,26517.9000,26368.9400,26429.8500,9300,0
^BSESN,D,20141021,000000,26552.4500,26615.4100,26407.0000,26575.6500,8400,0
^BSESN,D,20141022,000000,26782.5700,26818.3300,26712.2100,26787.2300,6000,0
^BSESN,D,20141030,000000,27098.9400,27390.6000,27088.6500,27346.3300,7000,0
^BSESN,D,20141031,000000,27439.0600,27894.3200,27438.2800,27865.8300,11600,0
^BSESN,D,20141103,000000,27943.0400,27969.8200,27785.4000,27860.3800,9500,0
^BSESN,D,20141107,000000,27902.7100,27980.9300,27739.5600,27868.6300,10500,0
^BSESN,D,20141110,000000,27919.4500,28027.9600,27764.7500,27874.7300,7900,0
^BSESN,D,20141118,000000,28209.0300,28282.8500,28119.9500,28163.2900,7300,0
^BSESN,D,20141119,000000,28193.9000,28294.0100,27963.5100,28032.8500,6800,0
^BSESN,D,20141128,000000,28490.7100,28822.3700,28483.9900,28693.9900,14600,0
^BSESN,D,20141201,000000,28748.2200,28809.6400,28538.4400,28559.6200,8300,0
^BSESN,D,20141205,000000,28604.5000,28651.7500,28409.0500,28458.1000,7700,0
^BSESN,D,20141208,000000,28433.0000,28494.8500,28097.1200,28119.4000,9500,0
^BSESN,D,20141210,000000,27711.9600,27905.2500,27710.0300,27831.1000,9900,0
^BSESN,D,20141211,000000,27796.3400,27796.3400,27539.4700,27602.0100,9800,0
^BSESN,D,20141212,000000,27598.9600,27692.3200,27320.0500,27350.6800,10900,0
^BSESN,D,20141215,000000,27136.2800,27392.1800,27105.0400,27319.5600,9100,0
^BSESN,D,20141218,000000,27053.8600,27180.9200,26900.5700,27126.5700,11200,0
^BSESN,D,20141219,000000,27292.5500,27497.1200,27292.1400,27371.8400,11800,0
^BSESN,D,20141231,000000,27358.3000,27527.2400,27346.0000,27499.4200,0,0
^BSESN,D,20150102,000000,27521.2800,27937.4700,27519.2600,27887.9000,0,0
^BSESN,D,20150105,000000,27978.4300,28064.4900,27786.8500,27842.3200,0,0
^BSESN,D,20150106,000000,27694.2300,27698.9300,26937.0600,26987.4600,0,0
^BSESN,D,20150107,000000,26983.4300,27051.6000,26776.1200,26908.8200,12200,0
^BSESN,D,20150108,000000,27178.7700,27316.4100,27101.9400,27274.7100,8200,0
^BSESN,D,20150109,000000,27404.1900,27507.6700,27119.6300,27458.3800,11100,0
^BSESN,D,20150115,000000,27831.1600,28194.6100,27703.7000,28075.5500,16700,0
^BSESN,D,20150116,000000,28056.6100,28176.1000,27945.3100,28121.8900,12100,0
^BSESN,D,20150122,000000,28957.7900,29060.4100,28892.2300,29006.0200,11100,0
^BSESN,D,20150123,000000,29189.4500,29408.7300,29165.5600,29278.8400,11900,0
^BSESN,D,20150127,000000,29451.6500,29618.5900,29286.0900,29571.0400,11300,0
^BSESN,D,20150128,000000,29565.7200,29786.3200,29417.6700,29559.1800,11200,0
^BSESN,D,20150203,000000,29217.4000,29253.0600,28900.4100,29000.1400,16600,0
^BSESN,D,20150204,000000,29129.8500,29133.6200,28824.6800,28883.1100,15800,0
^BSESN,D,20150205,000000,28912.3800,29277.8300,28753.2900,28850.9700,12800,0
^BSESN,D,20150206,000000,28892.2100,28922.8500,28647.1400,28717.9100,11400,0
^BSESN,D,20150209,000000,28566.5000,28566.5000,28183.3200,28227.3900,11700,0
^BSESN,D,20150213,000000,28888.9900,29154.6700,28835.7000,29094.9300,17600,0
^BSESN,D,20150216,000000,29170.7700,29325.3500,29083.4000,29135.8800,10500,0
^BSESN,D,20150219,000000,29434.9100,29522.8600,29108.1500,29462.2700,11900,0
^BSESN,D,20150220,000000,29446.2100,29462.0900,29178.2600,29231.4100,11500,0
^BSESN,D,20150224,000000,29016.5500,29130.6700,28875.9400,29004.6600,10200,0
^BSESN,D,20150225,000000,29115.3200,29269.8300,28967.6100,29007.9900,8000,0
^BSESN,D,20150303,000000,29500.1900,29636.8600,29364.8700,29593.7300,12200,0
